project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
pywikibot,98.8487%,98.9247%,0.7525%,1.2671%,97.2039%,97.6540%,0.8643%,1.4610%,93.2566%,94.1349%,0.9831%,1.6698%,87.0066%,88.9541%,1.2305%,2.1168%,77.7961%,81.4272%,1.7105%,3.0124%,68.0921%,72.0430%,2.2554%,4.0150%,58.3882%,63.5386%,2.6963%,4.9370%,47.3684%,54.0567%,2.8685%,5.5080%,40.4605%,47.1163%,3.0288%,5.9345%,34.7039%,41.0557%,3.1464%,6.2630%,30.5921%,36.1681%,3.3429%,6.6499%,26.4803%,32.4536%,3.4909%,7.1986%,24.0132%,28.8368%,3.8665%,7.8125%,22.0395%,26.2952%,4.4607%,8.9547%,19.7368%,23.0694%,4.9875%,9.8088%,17.7632%,21.0166%,5.6663%,11.2802%,16.2829%,18.8661%,6.3789%,12.4356%,14.4737%,16.9110%,6.9731%,13.7084%,12.5000%,14.7605%,7.3786%,14.6602%,11.1842%,13.3920%,7.8522%,15.8199%
qqbot,71.2644%,67.2414%,11.1511%,14.0288%,55.1724%,49.1379%,15.8940%,18.8742%,42.5287%,37.0690%,16.9725%,19.7248%,35.6322%,31.0345%,18.4524%,21.4286%,29.8851%,25.8621%,18.3099%,21.1268%,28.7356%,25.0000%,23.1481%,26.8519%,21.8391%,19.8276%,22.0930%,26.7442%,19.5402%,18.1034%,22.9730%,28.3784%,14.9425%,14.6552%,21.6667%,28.3333%,12.6437%,12.9310%,21.1538%,28.8462%,12.6437%,12.9310%,22.9167%,31.2500%,10.3448%,11.2069%,21.4286%,30.9524%,9.1954%,10.3448%,20.0000%,30.0000%,8.0460%,9.4828%,19.4444%,30.5556%,5.7471%,7.7586%,17.8571%,32.1429%,4.5977%,6.8966%,15.3846%,30.7692%,4.5977%,6.0345%,20.0000%,35.0000%,4.5977%,6.0345%,20.0000%,35.0000%,4.5977%,6.0345%,22.2222%,38.8889%,4.5977%,4.3103%,25.0000%,31.2500%
qutebrowser,98.2100%,97.4229%,1.0486%,1.4691%,95.7041%,95.2260%,1.0452%,1.4688%,91.6468%,91.0858%,1.1472%,1.6102%,89.4988%,89.1424%,1.2378%,1.7412%,85.3222%,84.5796%,1.4292%,2.0008%,78.1623%,77.9890%,1.6636%,2.3442%,69.1527%,68.3566%,2.8739%,4.0121%,60.3222%,58.7241%,4.9970%,6.8703%,52.8640%,49.9366%,7.4093%,9.8846%,46.5394%,42.7968%,10.2094%,13.2592%,40.5131%,35.9949%,12.6868%,15.9193%,35.2029%,30.5872%,15.3806%,18.8738%,30.9069%,26.7427%,17.6190%,21.5306%,26.6706%,23.0249%,19.4686%,23.7369%,22.6134%,19.3494%,21.1260%,25.5295%,19.8091%,16.8568%,22.9282%,27.5552%,18.0788%,15.2514%,24.8361%,29.5902%,16.1695%,13.5192%,26.2089%,30.9478%,14.9761%,12.3363%,28.1390%,32.7354%,13.5442%,11.1111%,29.7900%,34.5144%
ranger,87.6652%,86.5429%,2.4881%,4.6637%,86.3436%,85.6148%,2.4987%,4.7042%,86.3436%,85.6148%,2.6501%,4.9892%,85.9031%,85.3828%,3.0583%,5.7716%,83.2599%,83.2947%,3.9066%,7.4204%,80.6167%,81.2065%,4.3655%,8.3492%,72.6872%,74.0139%,4.4959%,8.6921%,70.0441%,70.7657%,4.8123%,9.2312%,65.6388%,67.2854%,4.8377%,9.4156%,62.9956%,64.7332%,4.9653%,9.6875%,59.9119%,61.4849%,5.2107%,10.1533%,57.2687%,58.9327%,5.8348%,11.4004%,52.8634%,54.0603%,6.3830%,12.3936%,46.2555%,48.7239%,6.8807%,13.7615%,41.8502%,45.2436%,7.7741%,15.9574%,37.0044%,39.9072%,8.8235%,18.0672%,33.0396%,36.1949%,10.1351%,21.0811%,29.5154%,32.2506%,11.8375%,24.5583%,25.9912%,29.4664%,13.1696%,28.3482%,21.5859%,25.7541%,14.0805%,31.8966%
rasa,77.3801%,77.2860%,3.8255%,3.9640%,56.7860%,56.8174%,5.6702%,5.8859%,43.1465%,43.1826%,6.1763%,6.4131%,34.8413%,35.0797%,6.3305%,6.6127%,29.1020%,29.4175%,6.9438%,7.2821%,24.5105%,24.7641%,7.8014%,8.1775%,21.1344%,21.3798%,8.7357%,9.1683%,18.0621%,18.3534%,9.4356%,9.9471%,15.5638%,15.8477%,10.2172%,10.7934%,13.4706%,13.7000%,10.9796%,11.5850%,12.0189%,12.2681%,12.0596%,12.7710%,10.1621%,10.4458%,12.5312%,13.3639%,8.7779%,9.0791%,13.2924%,14.2638%,7.7313%,7.9076%,14.0663%,14.9263%,6.7522%,6.8988%,14.7275%,15.6112%,6.1107%,6.1503%,15.8494%,16.5499%,5.4018%,5.4670%,16.3265%,17.1429%,4.8616%,4.9463%,17.1021%,18.0523%,4.4564%,4.5558%,18.0328%,19.1257%,4.2201%,4.3280%,18.9394%,20.1515%
ray,69.0806%,62.8646%,2.3167%,2.5050%,43.1269%,39.4428%,4.6148%,5.0147%,31.0229%,28.4937%,7.2631%,7.9261%,22.5010%,20.7662%,9.4999%,10.4171%,16.8628%,15.5964%,11.7119%,12.8705%,12.7118%,11.8306%,13.4180%,14.8376%,9.9056%,9.2185%,15.1683%,16.7723%,7.9271%,7.4118%,16.9057%,18.7810%,6.4270%,6.0405%,18.5309%,20.6935%,5.0950%,4.8215%,19.6607%,22.1058%,4.2804%,4.0814%,21.0292%,23.8247%,3.6079%,3.4719%,21.9685%,25.1181%,3.1682%,3.0583%,23.3333%,26.7619%,2.6122%,2.5141%,25.1244%,28.7313%,2.2242%,2.1550%,26.1398%,30.0912%,2.0303%,1.9264%,27.6408%,31.1620%,1.8104%,1.6979%,28.0000%,31.2000%,1.6811%,1.5673%,30.3738%,33.6449%,1.4483%,1.3605%,31.4607%,35.1124%,1.3190%,1.2407%,31.8750%,35.6250%
responder,86.2069%,82.9268%,12.5000%,17.0000%,75.8621%,65.8537%,19.2982%,23.6842%,41.3793%,36.5854%,20.6897%,25.8621%,27.5862%,26.8293%,18.1818%,25.0000%,27.5862%,24.3902%,21.0526%,26.3158%,17.2414%,17.0732%,25.0000%,35.0000%,13.7931%,14.6341%,22.2222%,33.3333%,10.3448%,12.1951%,18.7500%,31.2500%,10.3448%,12.1951%,18.7500%,31.2500%,10.3448%,12.1951%,25.0000%,41.6667%,10.3448%,12.1951%,25.0000%,41.6667%,10.3448%,12.1951%,25.0000%,41.6667%,6.8966%,9.7561%,20.0000%,40.0000%,6.8966%,9.7561%,20.0000%,40.0000%,6.8966%,9.7561%,20.0000%,40.0000%,6.8966%,9.7561%,20.0000%,40.0000%,6.8966%,7.3171%,25.0000%,37.5000%,6.8966%,7.3171%,25.0000%,37.5000%,6.8966%,7.3171%,33.3333%,50.0000%,6.8966%,7.3171%,33.3333%,50.0000%
reviewboard,66.4711%,64.6441%,2.3591%,2.9317%,45.6832%,45.0640%,2.3527%,2.9657%,33.6127%,32.9288%,4.7372%,5.9303%,23.9313%,23.9095%,6.1332%,7.8303%,16.9321%,16.8908%,6.8428%,8.7229%,12.6572%,12.6271%,7.4975%,9.5581%,9.6815%,9.8393%,7.5987%,9.8684%,7.5440%,7.8714%,7.3230%,9.7640%,5.7837%,6.1988%,6.7913%,9.3012%,4.1492%,4.5917%,6.0736%,8.5890%,3.2691%,3.4765%,6.0938%,8.2813%,2.8080%,2.8862%,6.8089%,8.9431%,2.4728%,2.4926%,8.7798%,11.3095%,2.0117%,1.9679%,10.4348%,13.0435%,1.6345%,1.5743%,11.9632%,14.7239%,1.4669%,1.4103%,15.4867%,19.0265%,1.0897%,1.0495%,15.2941%,18.8235%,0.9640%,0.9511%,19.8276%,25.0000%,0.7544%,0.7543%,19.1489%,24.4681%,0.7125%,0.7215%,22.9730%,29.7297%
rich,84.5411%,84.0909%,6.7655%,7.1521%,70.6924%,71.0606%,11.2104%,11.9765%,58.2931%,59.2424%,14.9587%,16.1570%,48.7923%,49.2424%,18.3636%,19.6970%,41.5459%,41.5152%,21.6807%,23.0252%,36.2319%,35.9091%,25.1678%,26.5101%,31.2399%,30.9091%,28.1159%,29.5652%,27.2142%,27.1212%,31.7669%,33.6466%,23.5105%,23.3333%,34.5972%,36.4929%,20.7729%,20.6061%,37.0690%,39.0805%,19.1626%,18.9394%,38.8889%,40.8497%,17.8744%,17.7273%,41.1111%,43.3333%,16.2641%,16.2121%,43.1624%,45.7265%,14.6538%,14.6970%,44.1748%,47.0874%,13.3655%,13.4848%,44.1489%,47.3404%,11.7552%,11.9697%,43.9759%,47.5904%,10.7890%,10.9091%,45.8904%,49.3151%,10.4670%,10.6061%,47.7941%,51.4706%,9.5008%,9.6970%,49.1667%,53.3333%,8.5346%,8.7879%,50.0000%,54.7170%
rqalpha,82.1138%,81.0256%,3.7680%,4.4208%,54.2683%,55.3846%,4.7628%,5.7795%,47.1545%,47.6923%,8.2270%,9.8936%,37.6016%,36.9231%,12.2193%,14.2668%,27.8455%,27.8632%,15.6393%,18.6073%,21.5447%,21.8803%,17.4917%,21.1221%,16.8699%,16.9231%,19.9519%,23.7981%,13.0081%,12.3077%,23.1884%,26.0870%,9.9593%,9.2308%,24.2574%,26.7327%,6.7073%,6.4957%,22.0000%,25.3333%,5.8943%,5.6410%,29.0000%,33.0000%,4.2683%,4.1026%,26.9231%,30.7692%,2.8455%,2.9060%,23.3333%,28.3333%,2.4390%,2.3932%,26.0870%,30.4348%,2.4390%,2.3932%,26.0870%,30.4348%,2.0325%,1.8803%,25.0000%,27.5000%,1.6260%,1.5385%,22.2222%,25.0000%,1.2195%,1.1966%,18.7500%,21.8750%,1.0163%,0.8547%,17.8571%,17.8571%,0.8130%,0.6838%,16.6667%,16.6667%
rtv,91.1111%,89.0411%,9.1111%,14.4444%,67.4074%,67.1233%,13.3431%,21.5543%,49.6296%,51.5982%,15.0901%,25.4505%,41.4815%,42.9224%,16.7665%,28.1437%,35.5556%,35.6164%,18.1818%,29.5455%,30.3704%,29.6804%,20.2970%,32.1782%,26.6667%,24.6575%,22.2222%,33.3333%,21.4815%,19.6347%,24.1667%,35.8333%,20.7407%,18.2648%,26.4151%,37.7358%,17.7778%,16.4384%,26.6667%,40.0000%,15.5556%,14.6119%,27.6316%,42.1053%,12.5926%,11.8721%,32.6923%,50.0000%,11.8519%,10.9589%,34.7826%,52.1739%,9.6296%,9.5890%,30.9524%,50.0000%,8.8889%,8.2192%,33.3333%,50.0000%,7.4074%,6.3927%,33.3333%,46.6667%,6.6667%,5.9361%,32.1429%,46.4286%,5.1852%,5.0228%,26.9231%,42.3077%,4.4444%,4.5662%,30.0000%,50.0000%,3.7037%,4.1096%,27.7778%,50.0000%
sacred,93.2773%,92.5170%,2.0674%,2.5331%,85.2941%,82.6531%,2.8000%,3.3517%,71.0084%,66.3265%,6.6693%,7.6953%,55.8824%,53.0612%,10.1218%,11.8721%,46.6387%,44.2177%,13.7376%,16.0891%,35.7143%,33.6735%,15.0177%,17.4912%,27.3109%,25.5102%,18.2584%,21.0674%,24.7899%,23.4694%,20.7746%,24.2958%,21.4286%,20.0680%,23.3945%,27.0642%,18.9076%,17.6871%,24.7253%,28.5714%,15.5462%,14.9660%,26.0563%,30.9859%,13.8655%,13.6054%,28.9474%,35.0877%,13.4454%,13.2653%,31.3725%,38.2353%,13.0252%,12.5850%,34.4444%,41.1111%,12.1849%,11.9048%,36.2500%,43.7500%,11.7647%,11.2245%,41.1765%,48.5294%,10.9244%,10.5442%,41.9355%,50.0000%,10.0840%,9.5238%,44.4444%,51.8519%,9.6639%,9.1837%,44.2308%,51.9231%,8.4034%,8.1633%,43.4783%,52.1739%
sage,77.1480%,72.0106%,2.0943%,2.3779%,60.8556%,55.7737%,3.9661%,4.4215%,47.4153%,43.4642%,5.4286%,6.0531%,38.0749%,34.7597%,7.3818%,8.1974%,30.8734%,28.1360%,9.3947%,10.4144%,26.1319%,23.8570%,11.9226%,13.2401%,21.8895%,19.9297%,14.0568%,15.5678%,18.4670%,16.8523%,16.0471%,17.8129%,16.4349%,14.8007%,18.7246%,20.5118%,14.4742%,12.8957%,21.3012%,23.0850%,13.0481%,11.5182%,23.7971%,25.5527%,11.7291%,10.3458%,27.1901%,29.1736%,10.6595%,9.3494%,29.5455%,31.5217%,9.3405%,8.1770%,31.7961%,33.8592%,8.2709%,7.1805%,34.2183%,36.1357%,7.7362%,6.6530%,37.9371%,39.6853%,7.1658%,6.1841%,39.5669%,41.5354%,6.5954%,5.6272%,42.8241%,44.4444%,5.9893%,5.1290%,44.9198%,46.7914%,5.4545%,4.6893%,45.5357%,47.6190%
sanic,84.7059%,83.3992%,2.7512%,4.0313%,65.2941%,63.8340%,4.6192%,6.7208%,37.0588%,40.1186%,5.3120%,8.5582%,26.4706%,29.8419%,5.3254%,8.9349%,22.6471%,25.0988%,6.4381%,10.6187%,18.8235%,20.5534%,7.6555%,12.4402%,16.1765%,17.7866%,8.9286%,14.6104%,13.5294%,15.0198%,10.0000%,16.5217%,10.2941%,12.0553%,10.0575%,17.5287%,7.0588%,8.4980%,9.9174%,17.7686%,6.1765%,7.1146%,11.6667%,20.0000%,5.5882%,6.5217%,13.7681%,23.9130%,5.5882%,6.3241%,18.6275%,31.3725%,4.4118%,5.3360%,19.2308%,34.6154%,4.1176%,4.3478%,23.3333%,36.6667%,4.1176%,4.1502%,25.0000%,37.5000%,3.8235%,3.5573%,29.5455%,40.9091%,3.2353%,3.1621%,27.5000%,40.0000%,3.2353%,3.1621%,27.5000%,40.0000%,2.9412%,2.9644%,27.7778%,41.6667%
scapy,82.9989%,82.5024%,4.1931%,4.5025%,71.2249%,71.0166%,4.5800%,4.9331%,63.7804%,63.7830%,4.9334%,5.3296%,57.1806%,57.2825%,5.0636%,5.4797%,52.6927%,53.0303%,5.4174%,5.8897%,49.4720%,49.9022%,6.0632%,6.6067%,45.5121%,45.7967%,6.7061%,7.2896%,40.2323%,40.4203%,7.4472%,8.0825%,37.2756%,37.5367%,8.6140%,9.3704%,34.1605%,34.3597%,9.8930%,10.7492%,30.9926%,31.1828%,11.2538%,12.2316%,28.1943%,28.3969%,12.9235%,14.0610%,25.1320%,25.2199%,14.5655%,15.7895%,22.0169%,22.0919%,16.0632%,17.4114%,20.1690%,20.2835%,17.7180%,19.2486%,18.4266%,18.2307%,19.6509%,21.0023%,16.0507%,15.9824%,21.5603%,23.1915%,14.7835%,14.5161%,23.9726%,25.4281%,12.7772%,12.6100%,25.6356%,27.3305%,11.1404%,11.0948%,27.9101%,30.0265%
scikit-image,68.5098%,67.7461%,1.9077%,1.9640%,40.3911%,40.1554%,3.0721%,3.1798%,25.6912%,25.3886%,5.3391%,5.4933%,17.5995%,17.4870%,8.4685%,8.7605%,12.4073%,12.2409%,12.2016%,12.5332%,8.7660%,8.7435%,14.0998%,14.6421%,6.9454%,6.9301%,19.9612%,20.7364%,5.6642%,5.6995%,26.7516%,28.0255%,4.9225%,4.7927%,32.3009%,32.7434%,4.2481%,4.1451%,36.2069%,36.7816%,3.7761%,3.6917%,37.8378%,38.5135%,3.1018%,3.0440%,37.7049%,38.5246%,2.6298%,2.5907%,38.2353%,39.2157%,2.3601%,2.3316%,42.6829%,43.9024%,2.2252%,2.2021%,44.5946%,45.9459%,1.7532%,1.7487%,43.3333%,45.0000%,1.5509%,1.5544%,46.0000%,48.0000%,1.4160%,1.4249%,47.7273%,50.0000%,1.3486%,1.3601%,47.6190%,50.0000%,1.1463%,1.1658%,47.2222%,50.0000%
scikit-learn,76.9643%,76.9248%,0.8175%,0.9422%,60.9439%,58.4292%,1.6974%,1.8764%,42.0153%,39.4912%,2.0454%,2.2167%,29.7959%,27.9204%,2.4804%,2.6800%,21.8878%,20.5088%,2.8448%,3.0736%,16.3010%,15.2876%,3.1612%,3.4184%,12.8827%,12.0354%,3.7143%,4.0012%,10.3061%,9.6239%,4.5210%,4.8679%,8.4184%,7.7876%,5.5481%,5.9180%,6.8622%,6.2611%,6.4570%,6.7931%,5.2551%,4.8230%,6.8758%,7.2764%,4.5153%,4.1593%,8.0601%,8.5610%,3.9286%,3.5619%,9.4595%,9.8894%,3.1888%,2.9204%,10.2459%,10.8197%,2.7551%,2.5000%,11.6631%,12.2030%,2.4745%,2.2345%,13.4349%,13.9889%,2.2194%,1.9912%,15.1042%,15.6250%,1.8878%,1.6593%,16.2996%,16.5198%,1.6837%,1.4602%,17.4603%,17.4603%,1.4796%,1.2832%,18.8312%,18.8312%
scipy,81.6349%,80.9135%,0.5037%,0.6671%,64.0872%,63.8662%,0.8181%,1.0893%,51.0082%,50.4486%,0.9892%,1.3073%,42.7248%,41.8842%,1.2636%,1.6553%,37.2207%,36.2153%,1.6208%,2.1073%,31.6621%,30.9135%,2.0083%,2.6201%,26.4850%,25.8157%,2.4793%,3.2293%,22.7793%,22.1452%,3.0945%,4.0198%,20.7629%,20.0245%,3.8649%,4.9807%,18.7466%,17.8222%,4.7162%,5.9912%,16.7847%,15.7015%,5.5797%,6.9746%,15.4223%,14.1109%,6.6432%,8.1221%,14.2779%,12.7243%,7.9059%,9.4146%,12.7520%,11.4192%,8.9450%,10.7034%,11.4441%,10.3181%,10.3346%,12.4508%,10.7902%,9.5024%,12.0879%,14.2247%,9.8093%,8.5237%,13.5135%,15.6907%,9.5368%,8.1566%,16.0846%,18.3824%,9.1008%,7.6672%,18.1917%,20.4793%,8.5559%,7.1370%,20.3368%,22.6684%
security_monkey,72.4719%,71.8367%,2.3376%,2.3920%,46.0674%,45.3061%,3.9169%,3.9766%,26.2640%,25.8503%,5.6122%,5.7023%,17.5562%,17.2789%,7.8419%,7.9674%,12.7809%,12.3810%,9.9129%,9.9129%,5.8989%,5.7143%,7.8067%,7.8067%,4.0730%,3.9456%,9.4156%,9.4156%,3.0899%,2.9932%,11.8280%,11.8280%,2.2472%,2.1769%,14.2857%,14.2857%,1.6854%,1.6327%,17.6471%,17.6471%,1.2640%,1.2245%,15.5172%,15.5172%,0.8427%,0.8163%,14.2857%,14.2857%,0.8427%,0.8163%,25.0000%,25.0000%,0.8427%,0.8163%,33.3333%,33.3333%,0.7022%,0.6803%,31.2500%,31.2500%,0.5618%,0.5442%,40.0000%,40.0000%,0.2809%,0.2721%,33.3333%,33.3333%,0.2809%,0.2721%,50.0000%,50.0000%,0.2809%,0.2721%,50.0000%,50.0000%,0.2809%,0.2721%,50.0000%,50.0000%
sentry,50.2352%,48.0746%,1.0345%,1.2329%,27.6370%,26.4806%,2.9366%,3.5043%,15.7232%,14.3919%,4.1118%,4.6873%,10.5782%,9.6880%,5.6346%,6.4268%,7.5429%,6.8486%,10.4106%,11.7721%,5.5547%,5.0573%,12.3984%,14.0583%,4.0826%,3.7655%,13.9668%,16.0436%,3.1720%,2.9247%,15.8333%,18.1818%,2.4435%,2.2179%,17.7313%,20.0441%,1.8971%,1.7061%,18.9394%,21.2121%,1.6239%,1.4258%,20.4198%,22.3282%,1.3659%,1.1821%,21.9512%,23.6585%,1.2293%,1.0724%,23.6842%,25.7310%,1.0320%,0.9140%,23.2877%,25.6849%,0.8651%,0.7434%,23.3607%,25.0000%,0.7285%,0.6337%,23.7624%,25.7426%,0.7133%,0.6215%,25.5435%,27.7174%,0.7133%,0.6215%,26.7045%,28.9773%,0.6222%,0.5240%,28.4722%,29.8611%,0.5464%,0.4631%,29.5082%,31.1475%
seq2seq,99.2424%,99.2857%,2.4820%,2.6336%,90.9091%,90.7143%,3.2895%,3.4814%,75.7576%,76.4286%,4.8876%,5.2297%,56.8182%,57.1429%,6.6254%,7.0671%,44.6970%,44.2857%,8.3569%,8.7819%,35.6061%,35.7143%,10.3524%,11.0132%,22.7273%,22.8571%,9.8684%,10.5263%,18.9394%,19.2857%,11.6822%,12.6168%,18.9394%,18.5714%,14.8810%,15.4762%,15.1515%,15.0000%,15.6250%,16.4063%,12.8788%,12.8571%,15.4545%,16.3636%,12.1212%,12.1429%,17.3913%,18.4783%,10.6061%,10.7143%,17.0732%,18.2927%,9.0909%,9.2857%,18.1818%,19.6970%,7.5758%,7.8571%,17.2414%,18.9655%,6.0606%,6.4286%,18.1818%,20.4545%,6.0606%,6.4286%,18.1818%,20.4545%,6.0606%,6.4286%,19.0476%,21.4286%,4.5455%,5.0000%,18.7500%,21.8750%,3.7879%,4.2857%,16.6667%,20.0000%
shadowsocksr,92.4242%,92.7536%,9.3846%,9.8462%,72.7273%,73.9130%,13.8728%,14.7399%,56.0606%,57.9710%,17.9612%,19.4175%,37.8788%,40.5797%,25.0000%,28.0000%,33.3333%,36.2319%,25.5814%,29.0698%,27.2727%,30.4348%,30.0000%,35.0000%,21.2121%,24.6377%,35.0000%,42.5000%,19.6970%,23.1884%,34.2105%,42.1053%,15.1515%,18.8406%,31.2500%,40.6250%,13.6364%,15.9420%,32.1429%,39.2857%,10.6061%,13.0435%,31.8182%,40.9091%,9.0909%,11.5942%,33.3333%,44.4444%,9.0909%,10.1449%,37.5000%,43.7500%,6.0606%,7.2464%,33.3333%,41.6667%,4.5455%,5.7971%,30.0000%,40.0000%,4.5455%,5.7971%,30.0000%,40.0000%,3.0303%,4.3478%,25.0000%,37.5000%,3.0303%,4.3478%,25.0000%,37.5000%,1.5152%,2.8986%,16.6667%,33.3333%,1.5152%,2.8986%,16.6667%,33.3333%
sktime,79.3726%,76.7677%,1.9221%,2.0994%,43.8213%,43.1818%,2.7601%,3.0715%,26.8061%,27.4411%,2.8200%,3.2600%,22.2433%,22.3906%,4.4234%,5.0284%,15.9696%,16.5825%,5.7104%,6.6961%,12.6426%,12.9630%,8.0217%,9.2883%,9.6008%,9.9327%,10.2851%,12.0163%,7.1293%,7.4916%,12.2150%,14.4951%,5.2281%,5.5556%,12.9108%,15.4930%,4.1825%,4.4613%,13.0178%,15.6805%,2.1863%,2.4411%,9.8291%,12.3932%,1.3308%,1.5152%,8.1395%,10.4651%,1.0456%,1.0943%,8.0882%,9.5588%,0.4753%,0.5051%,5.4348%,6.5217%,0.1901%,0.2525%,3.2258%,4.8387%,0.0951%,0.0842%,2.3810%,2.3810%,0.0951%,0.0842%,3.5714%,3.5714%,0.0951%,0.0842%,4.5455%,4.5455%,0.0951%,0.0842%,5.0000%,5.0000%,0.0951%,0.0842%,5.5556%,5.5556%
snips-nlu,91.3215%,91.0781%,7.1827%,7.6016%,65.6805%,64.4981%,9.6021%,10.0058%,54.4379%,53.5316%,11.4809%,11.9800%,44.5759%,43.8662%,12.5416%,13.0966%,36.8836%,36.6171%,13.5311%,14.2547%,28.7968%,28.9963%,13.2246%,14.1304%,26.2327%,26.5799%,14.9775%,16.1036%,23.6686%,23.9777%,16.3043%,17.5272%,18.5404%,18.7732%,15.9322%,17.1186%,15.7791%,16.1710%,16.0000%,17.4000%,13.2150%,13.7546%,15.3670%,16.9725%,11.0454%,11.1524%,15.7303%,16.8539%,8.8757%,9.1078%,15.0000%,16.3333%,7.8895%,7.9926%,15.3846%,16.5385%,6.3116%,6.5056%,13.6752%,14.9573%,5.5227%,5.3903%,13.8614%,14.3564%,4.5365%,4.4610%,12.6374%,13.1868%,3.5503%,3.5316%,12.6761%,13.3803%,3.1558%,3.1599%,12.6984%,13.4921%,3.1558%,3.1599%,15.3846%,16.3462%
snorkel,75.3378%,75.3247%,3.5956%,3.7407%,45.6081%,46.1039%,7.8125%,8.2176%,31.0811%,31.4935%,13.2948%,14.0173%,19.9324%,19.8052%,16.3889%,16.9444%,12.1622%,12.3377%,19.3548%,20.4301%,7.4324%,7.1429%,22.0000%,22.0000%,5.7432%,5.5195%,34.0000%,34.0000%,2.7027%,2.5974%,36.3636%,36.3636%,2.3649%,2.2727%,38.8889%,38.8889%,1.3514%,1.2987%,50.0000%,50.0000%,1.0135%,0.9740%,50.0000%,50.0000%,0.6757%,0.6494%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%,0.3378%,0.3247%,50.0000%,50.0000%
spaCy,91.0798%,89.8219%,0.4284%,0.4677%,75.0235%,73.0280%,0.8321%,0.8967%,60.2817%,58.5242%,1.6143%,1.7350%,45.4460%,44.4444%,2.3828%,2.5798%,34.7418%,34.0967%,2.6584%,2.8883%,27.4178%,26.8872%,5.0258%,5.4561%,21.7840%,21.2044%,6.7757%,7.3014%,17.2770%,16.9635%,7.5225%,8.1766%,14.3662%,14.2494%,8.3974%,9.2206%,12.0188%,12.1289%,9.2486%,10.3324%,10.0469%,10.3478%,10.1518%,11.5750%,7.6995%,8.0577%,9.8558%,11.4183%,7.0423%,7.2095%,10.7759%,12.2126%,6.1972%,6.3613%,11.5385%,13.1119%,5.6338%,5.5980%,13.1004%,14.4105%,4.4131%,4.4953%,13.2022%,14.8876%,3.7559%,3.9016%,14.7059%,16.9118%,3.1925%,3.3079%,16.0377%,18.3962%,3.0986%,3.0534%,20.6250%,22.5000%,2.7230%,2.7142%,23.0159%,25.3968%
sphinx,98.4026%,97.8723%,1.1833%,1.5905%,94.6486%,94.6217%,1.6257%,2.1964%,90.7348%,90.8392%,2.0098%,2.7192%,88.1789%,88.0024%,2.2681%,3.0590%,86.2620%,84.8700%,2.5659%,3.4117%,83.2268%,80.7920%,2.9007%,3.8055%,78.9137%,75.5319%,3.3866%,4.3806%,75.2396%,71.0402%,3.8813%,4.9526%,71.1661%,66.7849%,4.3719%,5.5447%,67.9712%,63.2979%,4.8931%,6.1580%,64.5367%,60.1655%,5.5191%,6.9536%,60.3834%,56.2057%,6.1684%,7.7595%,55.9904%,52.4232%,6.7274%,8.5125%,52.1565%,49.0544%,7.3586%,9.3532%,48.3227%,45.1537%,8.0538%,10.1704%,44.8882%,41.6667%,8.6809%,10.8897%,41.5335%,38.6525%,9.2758%,11.6661%,37.3003%,34.8109%,9.8027%,12.3636%,34.1054%,32.0922%,10.5536%,13.4207%,31.1502%,29.3144%,11.2392%,14.2939%
