project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
pythondotorg,https://github.com/python/pythondotorg,Source code for python.orgpythondotorg,436,39856,1287,254,75,48,276,11441,41.45289855
python-for-android,https://github.com/kivy/python-for-android,Turn your Python application into an Android APKpython-for-android,349,23239,1668,209,184,53,250,15335,61.34
python-mini-projects,https://github.com/Python-World/python-mini-projects,A collection of simple python mini projects to enhance your python skillspython-mini-projects,136,45357,351,9,83,7,120,4443,37.025
python-patterns,https://github.com/faif/python-patterns,A collection of design patterns/idioms in Pythonpython-patterns,65,2591,133,10,39,3,62,2548,41.09677419
python-phonenumbers,https://github.com/daviddrysdale/python-phonenumbers,Python port of Google's libphonenumberpython-phonenumbers,671,377745,1212,47,22,11,658,331956,504.4924012
python-pinyin,https://github.com/mozillazg/python-pinyin,姹夊瓧杞嫾�?pypinyin)python-pinyin,60,88918,512,53,18,7,52,88301,1698.096154
python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,Library for building powerful interactive command line applications in Pythonpython-prompt-toolkit,285,30656,1967,38,162,28,278,30193,108.6079137
python-slack-sdk,https://github.com/slackapi/python-slack-sdk,Slack Developer Kit for Pythonpython-slack-sdk,595,187733,720,263,99,52,384,46867,122.0494792
python-spider,https://github.com/Jack-Cherish/python-spider,python-spider,50,4154,256,0,9,0,47,3705,78.82978723
python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,python-telegram-bot,316,49711,1602,652,163,131,298,45664,153.2348993
python-twitter,https://github.com/bear/python-twitter,A Python wrapper around the Twitter API.python-twitter,202,12935,553,40,128,10,37,6664,180.1081081
pytorch,https://github.com/pytorch/pytorch,pytorch,4340,644999,11121,5787,1004,689,894,169366,189.4474273
pytorch_geometric,https://github.com/rusty1s/pytorch_geometric,Graph Neural Network Library for PyTorchpytorch_geometric,704,41203,3528,103,194,41,681,40245,59.0969163
pytorch3d,https://github.com/facebookresearch/pytorch3d,pytorch3d,424,62151,569,73,72,45,253,42605,168.3992095
pytorch-cnn-visualizations,https://github.com/utkuozbulak/pytorch-cnn-visualizations,Pytorch implementation of convolutional neural network visualization techniquespytorch-cnn-visualizations,16,850,143,0,6,0,16,850,53.125
pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,Image-to-Image Translation in PyTorchpytorch-CycleGAN-and-pix2pix,52,2162,390,2,68,2,36,2020,56.11111111
PyTorch-GAN,https://github.com/eriklindernoren/PyTorch-GAN,PyTorch implementations of Generative Adversarial Networks.PyTorch-GAN,61,6555,152,4,11,2,59,6530,110.6779661
pytorch-image-models,https://github.com/rwightman/pytorch-image-models,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, EfficientNetV2, NFNet, Vision Transformer, MixNet, MobileNet-V3/V2, RegNet, DPN, CSPNet, and morepytorch-image-models",197,29381,828,39,53,3,189,29257,154.7989418
pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.pytorch-lightning",445,56552,3809,3092,431,420,406,54621,134.5344828
pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.pytorch-metric-learning",171,12001,599,13,21,4,157,11572,73.70700637
PyTorch-YOLOv3,https://github.com/eriklindernoren/PyTorch-YOLOv3,Minimal PyTorch implementation of YOLOv3PyTorch-YOLOv3,16,1902,176,1,11,1,11,1184,107.6363636
pytorch-YOLOv4,https://github.com/Tianxiaomo/pytorch-YOLOv4,pytorch-YOLOv4,39,6413,148,0,17,0,29,4757,164.0344828
PyTricks,https://github.com/brennerm/PyTricks,Collection of less popular features and tricks for the Python programming languagePyTricks,51,473,124,9,53,7,51,473,9.274509804
pytube,https://github.com/pytube/pytube,"A lightweight, dependency-free Python library (and command-line utility) for downloading YouTube Videos.pytube",46,5153,878,97,69,26,39,4968,127.3846154
pytype,https://github.com/google/pytype,A static type analyzer for Python codepytype,472,64111,3384,79,70,39,421,56083,133.2137767
pywal,https://github.com/dylanaraps/pywal,馃帹 Generate and change color-schemes on the fly.pywal,304,2031,745,33,61,6,26,1344,51.69230769
pyWhat,https://github.com/bee-san/pyWhat,"馃惛   Identify anything. pyWhat easily lets you identify emails, IP addresses, and more. Feed it a .pcap file or some text and it'll tell you what it is! 馃鈥嶁檧锔弍yWhat",27,50491,338,19,36,12,18,1735,96.38888889
pywikibot,https://github.com/wikimedia/pywikibot,A Python library that interfaces with the MediaWiki API. This is a mirror from gerrit.wikimedia.org. Do not submit any patches here. See https://www.mediawiki.org/wiki/Developer_account for contributing.pywikibot,311,78470,6543,109,230,14,290,77201,266.2103448
pywonderland,https://github.com/neozhaoliang/pywonderland,A tour in the wonderland of math with python.pywonderland,53,4200,169,0,6,0,45,4121,91.57777778
qqbot,https://github.com/pandolia/qqbot,QQBot: A conversation robot base on Tencent's SmartQQqqbot,41,4193,340,9,22,9,41,4193,102.2682927
QUANTAXIS,https://github.com/QUANTAXIS/QUANTAXIS,QUANTAXIS 鏀寔浠诲姟璋冨害 鍒嗗竷寮忛儴缃茬�?鑲＄�?鏈熻�?鏈熸�?娓�?铏氭嫙璐у�? 鏁版�?鍥炴�?妯℃�?浜ゆ�?鍙鍖?澶氳处鎴?绾湰鍦伴噺鍖栬В鍐虫柟妗圦UANTAXIS,234,44721,3204,163,73,2,164,41316,251.9268293
qutebrowser,https://github.com/qutebrowser/qutebrowser,"A keyboard-driven, vim-like browser based on PyQt5.qutebrowser",638,110205,16412,1751,383,101,428,72371,169.0911215
rainbowstream,https://github.com/orakaro/rainbowstream,A smart and nice Twitter client on terminal written in Python.rainbowstream,21,5048,547,10,45,6,12,4251,354.25
ranger,https://github.com/ranger/ranger,A VIM-inspired filemanager for the consoleranger,107,13006,2632,213,157,36,100,12701,127.01
rasa,https://github.com/RasaHQ/rasa,"馃挰   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistantsrasa",854,122505,9645,419,294,96,445,98522,221.3977528
ray,https://github.com/ray-project/ray,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged with RLlib, a scalable reinforcement learning library, and Tune, a scalable hyperparameter tuning library.ray",3276,398142,7401,7300,498,496,1671,234150,140.1256732
Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Real-Time-Voice-Cloning,57,4408,129,31,15,6,57,4408,77.33333333
real-url,https://github.com/wbt5/real-url,real-url,105,25780,199,23,16,2,99,17408,175.8383838
recommenders,https://github.com/microsoft/recommenders,Best Practices on Recommendation Systemsrecommenders,232,29059,1516,48,61,12,167,25846,154.7664671
records,https://github.com/kennethreitz/records,SQL for Humans鈩ecords,8,567,244,19,35,6,8,567,70.875
redis-py,https://github.com/andymccurdy/redis-py,Redis Python Clientredis-py,38,10152,1223,274,244,64,30,9768,325.6
redis-rdb-tools,https://github.com/sripathikrishnan/redis-rdb-tools,"Parse Redis dump.rdb files, Analyze Memory, and Export Data to JSONredis-rdb-tools",22,2830,141,12,23,4,21,2822,134.3809524
regular-investing-in-box,https://github.com/xiaolai/regular-investing-in-box,瀹氭姇鏀瑰彉鍛借繍 鈥斺�?璁╂椂闂撮櫔浣犳參鎱㈠彉�?https://onregularinvesting.comregular-investing-in-box,19,659,1061,0,33,0,3,164,54.66666667
reinforcement-learning-an-introduction,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction,Python Implementation of Reinforcement Learning: An Introductionreinforcement-learning-an-introduction,27,4545,122,0,21,0,26,4538,174.5384615
requests-html,https://github.com/psf/requests-html,Pythonic HTML Parsing for Humans鈩equests-html,5,811,356,12,59,5,5,811,162.2
responder,https://github.com/taoufik07/responder,A familiar HTTP Service Framework for Python.responder,74,6558,721,19,87,8,25,2257,90.28
responses,https://github.com/getsentry/responses,A utility for mocking out the Python Requests library.responses,4,2116,221,34,63,19,4,2245,561.25
reviewboard,https://github.com/reviewboard/reviewboard,An extensible and friendly code review tool for projects and companies of all sizes.reviewboard,1291,235667,4470,136,218,17,728,112824,154.978022
rich,https://github.com/willmcgugan/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.rich,183,26717,1774,4,125,4,175,23476,134.1485714
roboto,https://github.com/googlefonts/roboto,The Roboto family of fontsroboto,99,14668,352,10,10,3,51,6354,124.5882353
RocAlphaGo,https://github.com/Rochester-NRT/RocAlphaGo,RocAlphaGo,45,5999,256,10,16,2,35,4910,140.2857143
routersploit,https://github.com/threat9/routersploit,Exploitation Framework for Embedded Devicesroutersploit,716,25354,282,146,45,28,703,25246,35.91180654
rqalpha,https://github.com/ricequant/rqalpha,"A extendable, replaceable Python algorithmic backtest && trading framework supporting multiple securitiesrqalpha",171,15317,1912,17,45,11,162,14790,91.2962963
rtv,https://github.com/michael-lazar/rtv,Browse Reddit from your terminalrtv,232,227030,940,26,65,10,52,11304,217.3846154
RxPY,https://github.com/ReactiveX/RxPY,"Reactive Extensions for Python, https://rxpy.rtfd.ioRxPY",415,32501,850,150,60,33,407,32296,79.35135135
s2client-proto,https://github.com/Blizzard/s2client-proto,StarCraft II Client - protocol definitions used to communicate with StarCraft II.s2client-proto,16,35596,130,0,26,0,3,277,92.33333333
s3cmd,https://github.com/s3tools/s3cmd,Official s3cmd repo -- Command line tool for managing Amazon S3 and CloudFront servicess3cmd,32,9065,1388,168,191,22,27,8777,325.0740741
sacred,https://github.com/IDSIA/sacred,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.sacred",120,13321,1021,247,97,46,112,12717,113.5446429
sage,https://github.com/sagemath/sage,sage,934,162104,49849,12185,812,435,706,135315,191.6643059
