project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
mycli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mycroft-core,8.153061224489797,8.041666666666666,8.804878048780488,5.295918367346939,5.4375,6.024390243902439,28.846938775510203,32.0,36.26829268292683,794.5510204081633,916.4583333333334,999.4146341463414,5.663265306122449,5.770833333333333,6.390243902439025,184.75510204081633,200.02083333333334,218.3170731707317
mypaint,5.782608695652174,6.47191011235955,6.686746987951807,4.0,4.617977528089888,5.0843373493975905,45.53913043478261,53.42696629213483,58.01204819277108,1361.3217391304347,1631.112359550562,1758.6626506024097,4.434782608695652,5.146067415730337,5.734939759036145,148.9391304347826,173.6067415730337,190.16867469879517
mypy,12.217592592592593,16.365384615384617,14.38961038961039,52.125,81.95192307692308,65.22727272727273,49.125,76.58653846153847,60.798701298701296,1143.5462962962963,1894.423076923077,1444.6818181818182,56.361111111111114,88.4423076923077,70.47402597402598,1394.8935185185185,2381.076923076923,1792.5389610389611
nameko,4.726027397260274,5.882352941176471,6.1875,1.8630136986301369,2.411764705882353,3.0,39.32876712328767,61.14705882352941,62.9375,838.3150684931506,1377.7941176470588,1430.75,2.041095890410959,2.7058823529411766,3.375,60.21917808219178,90.11764705882354,100.21875
nanodet,1.9583333333333333,2.090909090909091,2.0,0.375,0.6363636363636364,0.75,7.486111111111111,8.93939393939394,9.7,357.56944444444446,557.5454545454545,449.25,0.3888888888888889,0.6363636363636364,0.75,5.486111111111111,5.696969696969697,5.0
neon,5.77,5.779761904761905,7.542553191489362,5.085,5.273809523809524,6.872340425531915,12.395,13.0,18.53191489361702,592.055,664.7916666666666,940.0,5.125,5.321428571428571,6.957446808510638,688.49,789.6964285714286,1304.595744680851
netbox,3.867088607594937,4.7125,4.813953488372093,15.462025316455696,22.0375,23.093023255813954,42.78481012658228,64.3125,63.604651162790695,1021.9556962025316,1580.4625,1572.9767441860465,17.22151898734177,24.1,25.697674418604652,286.626582278481,419.2125,475.06976744186045
networkx,8.02846975088968,7.956709956709957,8.533333333333333,9.911032028469752,10.056277056277056,17.566666666666666,22.309608540925268,21.748917748917748,31.4,861.2277580071175,849.1385281385282,1600.1333333333334,11.142348754448399,11.268398268398268,19.466666666666665,531.8434163701068,541.8225108225108,1156.3
newspaper,9.238095238095237,10.8,11.222222222222221,4.380952380952381,5.4,5.444444444444445,35.714285714285715,42.2,42.888888888888886,865.2857142857143,1105.2,1232.3333333333333,4.571428571428571,5.6,5.666666666666667,42.23809523809524,49.06666666666667,48.666666666666664
