project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
graphene,5.491803278688525,6.413793103448276,6.391304347826087,7.573770491803279,9.310344827586206,9.73913043478261,18.524590163934427,22.03448275862069,25.17391304347826,384.26229508196724,502.9655172413793,583.4782608695652,7.590163934426229,9.344827586206897,9.782608695652174,199.62295081967213,320.7241379310345,340.0
graphene-django,9.235294117647058,11.947368421052632,10.0,8.264705882352942,10.736842105263158,8.066666666666666,18.529411764705884,24.05263157894737,21.066666666666666,487.79411764705884,636.0,684.4666666666667,8.323529411764707,10.842105263157896,8.066666666666666,209.55882352941177,268.3157894736842,248.93333333333334
great_expectations,6.551020408163265,8.327272727272728,9.012048192771084,27.443877551020407,37.518181818181816,37.91566265060241,26.168367346938776,39.154545454545456,46.1566265060241,1074.4183673469388,1636.418181818182,1944.4819277108434,29.091836734693878,40.054545454545455,40.71084337349398,2252.4948979591836,3372.3727272727274,3650.6626506024095
guake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gunicorn,16.884615384615383,16.0,19.928571428571427,15.423076923076923,14.4,18.0,58.30769230769231,52.6,73.21428571428571,887.2692307692307,813.64,1241.642857142857,15.961538461538462,14.84,18.571428571428573,219.8846153846154,193.08,236.78571428571428
gym,8.793650793650794,12.333333333333334,14.411764705882353,9.571428571428571,14.407407407407407,16.88235294117647,12.46031746031746,18.88888888888889,20.470588235294116,265.14285714285717,425.6296296296296,447.7647058823529,9.682539682539682,14.666666666666666,17.11764705882353,213.44444444444446,349.3703703703704,351.70588235294116
h4cker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
haipproxy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HanLP,1.0,0.98,1.0,0.0,0.0,0.0,5.118421052631579,2.86,2.7837837837837838,339.60526315789474,350.42,347.7027027027027,0.0,0.0,0.0,0.0,0.0,0.0
haxor-news,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
healthchecks,3.3333333333333335,4.111111111111111,5.363636363636363,10.666666666666666,11.444444444444445,18.363636363636363,70.04761904761905,74.77777777777777,121.63636363636364,1028.7142857142858,947.1111111111111,1814.5454545454545,12.428571428571429,12.222222222222221,21.727272727272727,181.38095238095238,143.77777777777777,324.27272727272725
home-assistant,5.7421875,6.262645914396887,7.596244131455399,31.240885416666668,34.55058365758755,43.23943661971831,16.05859375,17.72762645914397,25.694835680751172,399.0403645833333,470.71789883268485,654.9154929577464,32.809895833333336,36.400778210116734,46.06572769953052,1076.4739583333333,1158.6906614785992,1479.2863849765258
horizon,15.153846153846153,16.261363636363637,21.318181818181817,11.854700854700855,13.022727272727273,17.568181818181817,26.54700854700855,28.852272727272727,37.47727272727273,763.008547008547,934.8409090909091,1300.25,12.282051282051283,13.556818181818182,18.204545454545453,250.64102564102564,307.47727272727275,452.54545454545456
horovod,3.1325301204819276,3.3207547169811322,4.96875,6.819277108433735,7.169811320754717,11.78125,6.662650602409639,7.0,11.5,249.6265060240964,298.3018867924528,476.3125,6.927710843373494,7.30188679245283,11.9375,250.66265060240963,301.62264150943395,474.46875
httpie,3.3684210526315788,3.7435897435897436,4.052631578947368,11.052631578947368,12.820512820512821,15.736842105263158,23.24561403508772,26.641025641025642,32.26315789473684,462.719298245614,579.7179487179487,667.0526315789474,11.631578947368421,13.538461538461538,16.210526315789473,240.42105263157896,297.94871794871796,271.8421052631579
httpx,8.4,10.0,9.444444444444445,35.46666666666667,40.53333333333333,38.111111111111114,32.93333333333333,39.4,34.888888888888886,796.2,1041.1333333333334,921.3333333333334,36.46666666666667,42.0,38.77777777777778,982.5333333333333,1165.5333333333333,1132.5555555555557
huey,1.1666666666666667,1.1666666666666667,1.25,1.3333333333333333,1.3333333333333333,2.0,9.0,9.0,11.25,198.83333333333334,198.83333333333334,240.25,1.5,1.5,2.25,39.5,39.5,59.25
hug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hy,18.1,31.0,35.0,20.4,45.333333333333336,58.0,107.8,243.66666666666666,325.0,2862.3,7234.0,9458.5,21.3,47.666666666666664,61.0,648.8,1395.3333333333333,1848.0
hydra,2.7288135593220337,3.130434782608696,2.8157894736842106,8.576271186440678,10.695652173913043,9.289473684210526,19.88135593220339,25.782608695652176,21.842105263157894,690.9830508474577,940.0,891.0263157894736,8.661016949152541,10.826086956521738,9.31578947368421,326.45762711864404,462.9130434782609,412.57894736842104
hyperopt,12.142857142857142,13.545454545454545,11.166666666666666,7.785714285714286,8.818181818181818,7.0,54.285714285714285,64.0909090909091,45.916666666666664,2179.1428571428573,2663.5454545454545,1685.6666666666667,7.857142857142857,8.818181818181818,7.083333333333333,412.64285714285717,504.6363636363636,268.5833333333333
hypothesis,4.9511111111111115,5.934210526315789,6.829787234042553,0.4088888888888889,0.8289473684210527,1.127659574468085,24.186666666666667,36.03947368421053,43.4468085106383,379.8222222222222,835.5131578947369,1088.9787234042553,0.4177777777777778,0.8289473684210527,1.148936170212766,13.822222222222223,37.63157894736842,35.93617021276596
igbot,19.363636363636363,20.363636363636363,30.25,1.5454545454545454,1.5454545454545454,1.75,99.0909090909091,101.45454545454545,174.0,1928.8181818181818,1966.0,3924.25,1.5454545454545454,1.5454545454545454,1.75,6.636363636363637,6.636363636363637,8.0
ignite,10.395833333333334,11.25,10.864864864864865,35.6875,40.8,36.32432432432432,21.979166666666668,25.1,22.89189189189189,806.2083333333334,1007.7,870.8378378378378,38.020833333333336,43.25,38.7027027027027,1664.5833333333333,1986.45,1767.2972972972973
imagededup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imbalanced-learn,2.7419354838709675,2.888888888888889,3.3333333333333335,12.709677419354838,14.666666666666666,13.0,14.129032258064516,16.666666666666668,14.666666666666666,408.93548387096774,723.2222222222222,1022.3333333333334,12.774193548387096,14.666666666666666,13.0,425.51612903225805,726.0,961.0
imgaug,3.6666666666666665,4.0,3.84375,7.055555555555555,7.645161290322581,7.3125,70.38888888888889,78.7741935483871,76.9375,4919.694444444444,5582.806451612903,5466.90625,7.25,7.870967741935484,7.53125,469.47222222222223,505.8709677419355,497.96875
impacket,6.0,6.3983739837398375,6.7227722772277225,0.8538011695906432,1.1626016260162602,1.1386138613861385,25.08187134502924,27.772357723577237,29.91089108910891,1279.9883040935672,1317.1951219512196,1454.3465346534654,0.8947368421052632,1.2195121951219512,1.2079207920792079,23.5906432748538,31.284552845528456,34.24752475247525
imutils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
infrastructure-puppet,1.6,1.5714285714285714,NA,0.0,0.0,NA,7.6,4.428571428571429,NA,1875.0,1505.142857142857,NA,0.0,0.0,NA,0.0,0.0,NA
insightface,1.0943396226415094,1.0857142857142856,1.1428571428571428,0.0,0.0,0.0,1.1320754716981132,1.1428571428571428,1.1428571428571428,221.8679245283019,260.9714285714286,193.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0
InstaPy,31.11764705882353,42.72727272727273,126.0,13.588235294117647,19.545454545454547,62.0,111.0,157.1818181818182,546.0,4240.294117647059,6252.454545454545,29726.0,15.058823529411764,21.818181818181817,71.0,455.6470588235294,684.9090909090909,2746.0
inter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
invoke,3.707317073170732,4.038461538461538,5.294117647058823,5.487804878048781,5.653846153846154,8.470588235294118,71.82926829268293,69.07692307692308,110.76470588235294,1344.3658536585365,1307.3846153846155,1943.764705882353,7.2926829268292686,7.538461538461538,11.470588235294118,138.41463414634146,136.84615384615384,229.11764705882354
ipython,10.366013071895425,13.455555555555556,15.410714285714286,2.849673202614379,3.8666666666666667,4.607142857142857,41.72549019607843,58.544444444444444,75.19642857142857,960.1830065359477,1349.9,1793.4464285714287,2.980392156862745,4.055555555555555,4.857142857142857,33.84313725490196,49.8,68.73214285714286
