project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gym,6.28,5.7,9.142857142857142,7.24,6.95,11.571428571428571,8.36,7.85,12.428571428571429,207.64,215.1,262.7142857142857,7.36,7.1,11.571428571428571,179.76,185.2,215.28571428571428
h4cker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
haipproxy,0.3333333333333333,NA,NA,0.0,NA,NA,0.3333333333333333,NA,NA,0.3333333333333333,NA,NA,0.0,NA,NA,0.0,NA,NA
HanLP,1.0232558139534884,1.018181818181818,1.0638297872340425,0.0,0.0,0.0,2.744186046511628,2.8545454545454545,2.978723404255319,272.5813953488372,308.54545454545456,341.78723404255317,0.0,0.0,0.0,0.0,0.0,0.0
haxor-news,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
healthchecks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
home-assistant,5.138263665594855,5.6061776061776065,6.117283950617284,28.14790996784566,31.455598455598455,32.870370370370374,15.72347266881029,17.571428571428573,21.166666666666668,470.8360128617363,522.3629343629343,600.0246913580247,29.829581993569132,33.27413127413127,35.0679012345679,907.5305466237942,942.7413127413128,1063.5061728395062
horizon,14.209302325581396,14.640350877192983,16.85,11.031007751937985,11.535087719298245,13.866666666666667,24.697674418604652,25.81578947368421,31.1,619.1782945736434,667.0877192982456,785.3333333333334,11.449612403100776,12.0,14.366666666666667,205.64341085271317,221.8421052631579,256.8666666666667
horovod,2.1166666666666667,2.1320754716981134,2.3703703703703702,4.4,4.433962264150943,5.185185185185185,4.35,4.39622641509434,5.148148148148148,196.65,205.39622641509433,277.4074074074074,4.416666666666667,4.452830188679245,5.222222222222222,197.93333333333334,206.0566037735849,279.0740740740741
httpie,4.166666666666667,4.130434782608695,4.571428571428571,15.166666666666666,15.130434782608695,17.928571428571427,31.125,31.26086956521739,37.07142857142857,650.7083333333334,652.5652173913044,775.2857142857143,15.583333333333334,15.565217391304348,18.357142857142858,297.125,300.39130434782606,318.35714285714283
httpx,8.444444444444445,13.5,11.6,34.55555555555556,61.25,51.6,31.22222222222222,55.75,46.6,828.6666666666666,1477.5,1281.0,35.333333333333336,62.5,52.6,1056.3333333333333,1773.5,1611.4
huey,3.8,3.8,5.666666666666667,8.0,8.0,13.333333333333334,49.6,49.6,79.66666666666667,1397.2,1397.2,2251.3333333333335,9.0,9.0,15.0,204.2,204.2,340.3333333333333
hug,1.6666666666666667,NA,NA,0.0,NA,NA,2.3333333333333335,NA,NA,22.333333333333332,NA,NA,0.0,NA,NA,0.0,NA,NA
hy,16.5,28.0,NA,16.5,26.0,NA,73.5,110.0,NA,1227.6666666666667,2233.0,NA,16.833333333333332,27.0,NA,344.8333333333333,709.0,NA
hydra,2.7945205479452055,3.25,2.892857142857143,7.041095890410959,9.107142857142858,7.767857142857143,15.931506849315069,21.357142857142858,17.553571428571427,459.3835616438356,679.7142857142857,532.9107142857143,7.068493150684931,9.178571428571429,7.803571428571429,237.76712328767124,318.25,270.67857142857144
hyperopt,14.090909090909092,14.090909090909092,12.9,9.090909090909092,9.090909090909092,8.4,67.0909090909091,67.0909090909091,54.9,2606.5454545454545,2606.5454545454545,2142.3,9.090909090909092,9.090909090909092,8.4,490.1818181818182,490.1818181818182,447.4
hypothesis,4.7894736842105265,5.3428571428571425,5.6,0.43859649122807015,0.6285714285714286,0.7666666666666667,29.157894736842106,37.08571428571429,41.6,714.140350877193,1004.6571428571428,1132.7333333333333,0.43859649122807015,0.6285714285714286,0.7666666666666667,5.912280701754386,9.17142857142857,10.7
igbot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ignite,8.89655172413793,9.636363636363637,11.151515151515152,37.03448275862069,43.04545454545455,45.06060606060606,20.086206896551722,22.954545454545453,25.848484848484848,736.1724137931035,922.9090909090909,1024.1818181818182,39.775862068965516,45.77272727272727,48.27272727272727,1899.7068965517242,2320.9545454545455,2736.2727272727275
imagededup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imbalanced-learn,2.2666666666666666,2.4285714285714284,2.75,8.733333333333333,8.142857142857142,10.5,9.6,9.142857142857142,10.75,328.93333333333334,473.2857142857143,420.75,8.733333333333333,8.142857142857142,10.5,333.2,471.2857142857143,423.75
imgaug,2.6363636363636362,2.78,3.2162162162162162,4.7272727272727275,5.16,6.405405405405405,43.92727272727273,47.48,61.62162162162162,3616.2,3910.46,5095.027027027027,4.836363636363636,5.28,6.5675675675675675,304.54545454545456,334.76,426.02702702702703
impacket,5.625954198473282,5.71,5.828282828282828,0.8244274809160306,1.02,0.9797979797979798,23.34351145038168,22.67,24.2020202020202,1244.618320610687,1145.51,1264.20202020202,0.8625954198473282,1.07,1.0303030303030303,23.66412213740458,29.08,29.141414141414142
imutils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
infrastructure-puppet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
insightface,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,477.55555555555554,477.55555555555554,625.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0
InstaPy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
inter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
