project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
yolov5,3,12.5,22,74.5,240,55.70833333,2,15.5,28,76,240,59.42105263,0.666666667,1.24,1.272727273,1.020134228,1,1.066645672
YOLOX,0,1,2,4.25,11,2.934210526,0,3,4,7.5,11,5.064516129,NA,3,2,1.764705882,1,1.726023434
you-get,0,0,0,2,55,2.634146341,0,0,3,10.5,55,8.695652174,NA,NA,NA,5.25,1,3.301127214
YouCompleteMe,0,0,0,2,22,1.577777778,0,0,0,2,22,2.789473684,NA,NA,NA,1,1,1.767976279
yowsup,0,0,0,1,19,0.896142433,0,0,0,2,19,1.242105263,NA,NA,NA,2,1,1.38605786
YYeTsBot,0,0,0,1,2,0.6,0,0,0,0,1,0.214285714,NA,NA,NA,0,0.5,0.357142857
Zappa,0,0,2,4.5,50,5.842105263,0,2,2,13.5,50,11.85714286,NA,NA,1,3,1,2.02960103
zipline,0,0,0,1,14,0.728301887,0,0,0,1,14,0.994047619,NA,NA,NA,1,1,1.364884037
bitbake,0,0,0,1,41,2.702702703,0,0,1,6,160,8.00729927,NA,NA,NA,6,3.902439024,2.96270073
boto,0,0,0,0,7,0.323529412,0,0,0,1,32,1.340686275,NA,NA,NA,NA,4.571428571,4.143939394
calibre,0,0,0,1,34,1.330508475,0,0,2,5,171,5.102974828,NA,NA,NA,5,5.029411765,3.835356877
cassandra-dtest,0,0,2,4,19,2.890756303,0,0,2,6.25,19,4.1875,NA,NA,1,1.5625,1,1.448582849
celery,0,0,1,3.5,40,3.151898734,0,1,3,8,87,7.343891403,NA,NA,3,2.285714286,2.175,2.329989642
cerbero,0,0,0,0,0,0,0,0,0,0,1,0.012658228,NA,NA,NA,NA,NA,NA
certbot,0,1,4,10,81,8.845679012,0,3,8,22,104,16.15492958,NA,3,2,2.2,1.283950617,1.826307461
ChatterBot,0,0,0,0,2,0.191489362,0,0,0,1,4,0.511627907,NA,NA,NA,NA,2,2.671834625
cheetah,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
cherrypy,0,0,0,1,11,1.454545455,0,2,6,15,88,11.09876543,NA,NA,NA,15,8,7.630401235
cobbler,0,0,0,0,5,0.314285714,0,1,1,3,24,2.925373134,NA,NA,NA,NA,4.8,9.308005427
codespeed,0,0,0,0.75,3,0.428571429,0,0,0,1,9,1.214285714,NA,NA,NA,1.333333333,3,2.833333333
django,0,2,3,6,256,6.528230866,0,3,9,24,378,22.11396011,NA,1.5,3,4,1.4765625,3.387435366
gramps,0,0,0,0,5,0.228287841,0,0,0,2,24,1.4643377,NA,NA,NA,NA,4.8,6.414435795
XX-Net,0,0,0,0,10,0.084931507,0,0,0,0,12,0.253275109,NA,NA,NA,NA,1.2,2.982110156
zulip,0,0,1,2,89,1.952522255,0,0,1,5,131,5.669966997,NA,NA,1,2.5,1.471910112,2.903919267
