project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
django-oscar,0,0,0,1,19,0.841269841,0,0,1,2,19,1.246428571,NA,NA,NA,2,1,1.481603774
django-rest-framework,0,3,7,13.25,142,13.42741935,0,5.5,9,19.5,142,16.80722892,NA,1.833333333,1.285714286,1.471698113,1,1.251709541
django-tastypie,0,0,1,3,87,3.88,0,1,2.5,10,87,8.386363636,NA,NA,2.5,3.333333333,1,2.161433927
DjangoBlog,0,0,1,3,14,1.936507937,0,1,2,3,14,2.794117647,NA,NA,2,1,1,1.442864031
doccano,0,0,0,0,3,0.079545455,0,0,0,0,3,0.12244898,NA,NA,NA,NA,1,1.539358601
docker-py,0,0,0,2,31,1.546875,0,0,1,3,31,2.666666667,NA,NA,NA,1.5,1,1.723905724
docker-stacks,0,0,0,0,0,0,0,0,0,0,3,0.210526316,NA,NA,NA,NA,NA,NA
docutils,0,0,0,0,3,0.10880829,0,0,0,0,3,0.216216216,NA,NA,NA,NA,1,1.987129987
dotbot,0,0,0,0,3,0.227272727,0,0,0,1,3,0.555555556,NA,NA,NA,NA,1,2.444444444
dowhy,0,1,1,3,18,2.818181818,0,1,3,7,18,4.434782609,NA,1,3,2.333333333,1,1.573632539
dvc,0,5,12,24,166,19.68764569,0,6,16,31.75,166,23.29084967,NA,1.2,1.333333333,1.322916667,1,1.183018531
dymos,0,1,2,4,45,3.985365854,0,2,4,8,45,6.517647059,NA,2,2,2,1,1.635394917
easytrader,0,0,1.5,4.5,14,3.4,0,0.25,2,4.5,14,3.428571429,NA,NA,1.333333333,1,1,1.008403361
edgedb,0,2,5,17,184,15.59466667,0,4,9,26.25,141,19.31355932,NA,2,1.8,1.544117647,0.766304348,1.238472084
Eel,0,0,0,1.75,16,1.5,0,0,0,0,0,0,NA,NA,NA,0,0,0
eht-imaging,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
elastalert,0,0,0,2,6,1.333333333,0,0,1,5,6,2.363636364,NA,NA,NA,2.5,1,1.772727273
elasticsearch-dsl-py,0,0,0,1,38,3.841269841,0,0,0,4.5,38,5.363636364,NA,NA,NA,4.5,1,1.396318557
elasticsearch-py,0,0,0,0,30,1.198198198,0,0,0.5,5.5,10,3,NA,NA,NA,NA,0.333333333,2.503759398
electrum,0,0,2,6,97,5.732283465,0,1,3,9,97,7.356020942,NA,NA,1.5,1.5,1,1.283261895
emissary,0,0,0,0,8,0.403141361,0,0,0,0,8,0.387755102,NA,NA,NA,NA,1,0.961834084
espnet,0,0,0,0,7,0.176182708,0,0,0,0,7,0.182741117,NA,NA,NA,NA,1,1.037225042
esptool,0,0,0,0,55,1.425531915,0,0,0,0,55,1.675,NA,NA,NA,NA,1,1.175
EverydayWechat,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
explainshell,0,0,0,0.25,11,1.25,0,0,0,1,12,1.578947368,NA,NA,NA,4,1.090909091,1.263157895
fabric,0,0,0,2,8,1.441176471,0,0,1,2.25,8,2,NA,NA,NA,1.125,1,1.387755102
facenet,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
faceswap,0,1,3,13,83,9.898089172,0,1,4,13,83,11.61061947,NA,1,1.333333333,1,1,1.173016253
fail2ban,0,0,1,4,12,2.432432432,0,0,2,4,12,2.735849057,NA,NA,2,1,1,1.124737945
fairseq,0,1,2,6,100,5.655226209,0,1,2,7,100,6.5,NA,1,1,1.166666667,1,1.14937931
faker,0,2,4,5,126,5.734061931,0,2,5,7,126,7.614503817,NA,1,1.25,1.4,1,1.327942375
falcon,1,4,9,20.25,195,16.78658537,1,5,11,24,195,19.66055046,1,1.25,1.222222222,1.185185185,1,1.171206057
fastapi,0,1,2,5,77,3.653937947,0,2,4,6,77,5.052845528,NA,2,2,1.2,1,1.382849299
FATE,0,0,0,0,2,0.013392857,0,0,0,0,2,0.016891892,NA,NA,NA,NA,1,1.261261261
faust,0,0,0,1,13,0.81443299,0,0,0,1,13,1.113402062,NA,NA,NA,1,1,1.367088608
featuretools,0,5,157,191,288,122.4296296,1,161,182,202,288,171.7540984,NA,32.2,1.159235669,1.057591623,1,1.40288016
flair,0,0,0,1,12,0.865671642,0,0,0,1,7,0.816326531,NA,NA,NA,1,0.583333333,0.942997889
Flashlight,0,0,0,0,6,0.072243346,0,0,0,0,2,0.034482759,NA,NA,NA,NA,0.333333333,0.477313975
flask,0,0,0,1,34,2.294117647,0,0,1,2,34,3.02173913,NA,NA,NA,2,1,1.317168339
flask-admin,0,0,0,3,40,2.403361345,0,0,0,4,40,3.536231884,NA,NA,NA,1.333333333,1,1.47136921
Flask-AppBuilder,0,0,0,1.25,57,2.253968254,0,0,1,4,57,3.922413793,NA,NA,NA,3.2,1,1.740225838
flask-sqlalchemy,0,0,0,0,4,0.461538462,0,0,0,0,4,0.428571429,NA,NA,NA,NA,1,0.928571429
flocker,0,0,0,0,4,0.147651007,0,0,0,0,4,0.159574468,NA,NA,NA,NA,1,1.080754352
flower,0,1.75,5,10,26,6.613636364,0,4.75,10,11.5,26,9.9,NA,2.714285714,2,1.15,1,1.496907216
fluo-muchos,1,3.5,6,10.5,19,7.714285714,1,2.5,4,11.5,19,8,1,0.714285714,0.666666667,1.095238095,1,1.037037037
